"Human Development Index (HDI), female"
"Dimension: Gender"
"Definition: A composite index measuring average achievement in three basic dimensions of human development-a long and healthy life, knowledge and a decent standard of living. See Technical note 1 at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf  for details on how the HDI is calculated."
"Source: HDRO calculations based on data from UNDESA (2019a), UNESCO Institute for Statistics (2020), Barro and Lee (2018), World Bank (2020a), ILO (2020) and IMF (2020)."
""
"HDI Rank","Country","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"169"," Afghanistan","..","","0.138","","0.264","","0.329","","0.339","","0.350","","0.359","","0.366","","0.371","","0.377","","0.388","","0.392","","0.391",""
"69"," Albania","0.612","","0.644","","0.679","","0.733","","0.750","","0.761","","0.763","","0.764","","0.770","","0.771","","0.774","","0.784","","0.780",""
"91"," Algeria","..","","0.520","","0.575","","0.630","","0.638","","0.638","","0.647","","0.648","","0.665","","0.670","","0.672","","0.672","","0.671",""
"148"," Angola","..","","..","","..","","..","","..","","..","","..","","0.520","","0.524","","0.553","","0.553","","0.552","","0.552",""
"46"," Argentina","0.733","","0.766","","0.783","","0.823","","0.826","","0.827","","0.828","","0.827","","0.830","","0.830","","0.832","","0.831","","0.835",""
"81"," Armenia","0.617","","0.642","","0.703","","0.730","","0.737","","0.742","","0.749","","0.752","","0.755","","0.754","","0.759","","0.761","","0.766",""
"8"," Australia","0.864","","0.880","","0.891","","0.917","","0.920","","0.924","","0.918","","0.920","","0.925","","0.927","","0.929","","0.930","","0.932",""
"18"," Austria","0.796","","0.815","","0.827","","0.885","","0.882","","0.884","","0.887","","0.900","","0.897","","0.900","","0.901","","0.904","","0.903",""
"88"," Azerbaijan","0.592","","0.617","","0.648","","0.705","","0.702","","0.703","","0.707","","0.718","","0.721","","0.717","","0.719","","0.722","","0.730",""
"58"," Bahamas","..","","0.797","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"42"," Bahrain","0.742","","0.763","","0.777","","0.786","","0.787","","0.774","","0.782","","0.787","","0.801","","0.802","","0.804","","0.803","","0.806",""
"133"," Bangladesh","0.348","","0.400","","0.442","","0.496","","0.506","","0.517","","0.530","","0.532","","0.552","","0.565","","0.575","","0.582","","0.596",""
"58"," Barbados","0.736","","0.766","","0.782","","0.799","","0.801","","0.809","","0.809","","0.810","","0.811","","0.813","","0.814","","0.812","","0.816",""
"53"," Belarus","0.661","","0.691","","0.736","","0.804","","0.810","","0.814","","0.816","","0.820","","0.818","","0.819","","0.821","","0.822","","0.824",""
"14"," Belgium","0.843","","0.866","","0.880","","0.895","","0.896","","0.898","","0.902","","0.904","","0.908","","0.910","","0.912","","0.913","","0.918",""
"110"," Belize","..","","0.610","","0.636","","0.666","","0.672","","0.685","","0.686","","0.690","","0.695","","0.700","","0.701","","0.705","","0.706",""
"158"," Benin","0.327","","0.354","","0.400","","0.442","","0.448","","0.458","","0.470","","0.480","","0.492","","0.494","","0.489","","0.497","","0.502",""
"129"," Bhutan","..","","..","","0.487","","0.549","","0.559","","0.570","","0.571","","0.580","","0.590","","0.597","","0.605","","0.607","","0.626",""
"107"," Bolivia (Plurinational State of)","..","","..","","0.614","","0.637","","0.644","","0.648","","0.656","","0.665","","0.672","","0.679","","0.688","","0.693","","0.696",""
"73"," Bosnia and Herzegovina","..","","..","","0.671","","0.694","","0.703","","0.708","","0.717","","0.728","","0.730","","0.741","","0.743","","0.746","","0.753",""
"100"," Botswana","0.574","","0.572","","0.585","","0.655","","0.671","","0.684","","0.697","","0.708","","0.713","","0.717","","0.723","","0.726","","0.734",""
"84"," Brazil","..","","0.680","","0.691","","0.724","","0.725","","0.730","","0.748","","0.752","","0.752","","0.754","","0.757","","0.757","","0.760",""
