preference,GDPquant,GEIquant,GDIquant,meanGenderGDP,meanGenderGEI,meanGenderGDI
trust,1,1,1,-0.0111460474824589,0.0167372550858548,0.0111016456150885
trust,2,1,1,0.0450533981119038,0.0167372550858548,0.0111016456150885
trust,3,3,4,0.0819440257893935,0.0889720277981149,0.127318573257385
trust,4,3,3,0.177633102215023,0.0889720277981149,0.10729072582288
trust,4,4,2,0.177633102215023,0.191555418698348,0.0477735339385079
trust,1,3,2,-0.0111460474824589,0.0889720277981149,0.0477735339385079
trust,2,3,2,0.0450533981119038,0.0889720277981149,0.0477735339385079
trust,2,2,3,0.0450533981119038,-0.00378022294845594,0.10729072582288
trust,3,2,4,0.0819440257893935,-0.00378022294845594,0.127318573257385
trust,1,2,1,-0.0111460474824589,-0.00378022294845594,0.0111016456150885
trust,4,4,3,0.177633102215023,0.191555418698348,0.10729072582288
trust,3,2,2,0.0819440257893935,-0.00378022294845594,0.0477735339385079
trust,3,2,3,0.0819440257893935,-0.00378022294845594,0.10729072582288
trust,3,3,3,0.0819440257893935,0.0889720277981149,0.10729072582288
trust,3,4,3,0.0819440257893935,0.191555418698348,0.10729072582288
trust,3,4,4,0.0819440257893935,0.191555418698348,0.127318573257385
trust,4,4,4,0.177633102215023,0.191555418698348,0.127318573257385
trust,2,3,3,0.0450533981119038,0.0889720277981149,0.10729072582288
trust,4,3,2,0.177633102215023,0.0889720277981149,0.0477735339385079
trust,2,1,2,0.0450533981119038,0.0167372550858548,0.0477735339385079
trust,1,2,2,-0.0111460474824589,-0.00378022294845594,0.0477735339385079
trust,2,3,4,0.0450533981119038,0.0889720277981149,0.127318573257385
trust,1,2,3,-0.0111460474824589,-0.00378022294845594,0.10729072582288
trust,2,2,2,0.0450533981119038,-0.00378022294845594,0.0477735339385079
trust,1,3,4,-0.0111460474824589,0.0889720277981149,0.127318573257385
trust,4,3,4,0.177633102215023,0.0889720277981149,0.127318573257385
trust,1,4,2,-0.0111460474824589,0.191555418698348,0.0477735339385079
trust,3,1,1,0.0819440257893935,0.0167372550858548,0.0111016456150885
trust,3,1,3,0.0819440257893935,0.0167372550858548,0.10729072582288
trust,4,1,2,0.177633102215023,0.0167372550858548,0.0477735339385079
trust,1,1,2,-0.0111460474824589,0.0167372550858548,0.0477735339385079
altruism,1,1,1,0.032452660985496,0.0489476119152794,0.0269399759674497
altruism,2,1,1,0.0781864338990908,0.0489476119152794,0.0269399759674497
altruism,3,3,4,0.147460125671711,0.124058675403623,0.159738027899043
altruism,4,3,3,0.1816792400425,0.124058675403623,0.156924352140826
altruism,4,4,2,0.1816792400425,0.191041369657938,0.0961761045914797
altruism,1,3,2,0.032452660985496,0.124058675403623,0.0961761045914797
altruism,2,3,2,0.0781864338990908,0.124058675403623,0.0961761045914797
altruism,2,2,3,0.0781864338990908,0.0757308036219578,0.156924352140826
altruism,3,2,4,0.147460125671711,0.0757308036219578,0.159738027899043
altruism,1,2,1,0.032452660985496,0.0757308036219578,0.0269399759674497
altruism,4,4,3,0.1816792400425,0.191041369657938,0.156924352140826
altruism,3,2,2,0.147460125671711,0.0757308036219578,0.0961761045914797
altruism,3,2,3,0.147460125671711,0.0757308036219578,0.156924352140826
altruism,3,3,3,0.147460125671711,0.124058675403623,0.156924352140826
altruism,3,4,3,0.147460125671711,0.191041369657938,0.156924352140826
altruism,3,4,4,0.147460125671711,0.191041369657938,0.159738027899043
altruism,4,4,4,0.1816792400425,0.191041369657938,0.159738027899043
altruism,2,3,3,0.0781864338990908,0.124058675403623,0.156924352140826
altruism,4,3,2,0.1816792400425,0.124058675403623,0.0961761045914797
altruism,2,1,2,0.0781864338990908,0.0489476119152794,0.0961761045914797
altruism,1,2,2,0.032452660985496,0.0757308036219578,0.0961761045914797
altruism,2,3,4,0.0781864338990908,0.124058675403623,0.159738027899043
altruism,1,2,3,0.032452660985496,0.0757308036219578,0.156924352140826
altruism,2,2,2,0.0781864338990908,0.0757308036219578,0.0961761045914797
altruism,1,3,4,0.032452660985496,0.124058675403623,0.159738027899043
altruism,4,3,4,0.1816792400425,0.124058675403623,0.159738027899043
altruism,1,4,2,0.032452660985496,0.191041369657938,0.0961761045914797
altruism,3,1,1,0.147460125671711,0.0489476119152794,0.0269399759674497
altruism,3,1,3,0.147460125671711,0.0489476119152794,0.156924352140826
altruism,4,1,2,0.1816792400425,0.0489476119152794,0.0961761045914797
altruism,1,1,2,0.032452660985496,0.0489476119152794,0.0961761045914797
negrecip,1,1,1,0.0895956784837472,0.11229050362612,0.0972027508939755
negrecip,2,1,1,0.127533167929282,0.11229050362612,0.0972027508939755
negrecip,3,3,4,0.136118800207185,0.151491687383085,0.172836579543114
negrecip,4,3,3,0.226027804833993,0.151491687383085,0.169220028610516
negrecip,4,4,2,0.226027804833993,0.24413459341492,0.140016092406601
negrecip,1,3,2,0.0895956784837472,0.151491687383085,0.140016092406601
negrecip,2,3,2,0.127533167929282,0.151491687383085,0.140016092406601
negrecip,2,2,3,0.127533167929282,0.0713586670300821,0.169220028610516
negrecip,3,2,4,0.136118800207185,0.0713586670300821,0.172836579543114
negrecip,1,2,1,0.0895956784837472,0.0713586670300821,0.0972027508939755
