preference,GDPquant,GEIquant,GDIquant,meanGenderGDP,meanGenderGEI,meanGenderGDI
trust,1,1,1,-0.0130340723929575,0.0162491529535836,0.0109309321960421
trust,2,1,1,0.0458828770733919,0.0162491529535836,0.0109309321960421
trust,3,3,4,0.0751841659403771,0.0756996517459411,0.112212739633188
trust,4,3,3,0.162123301300998,0.0756996517459411,0.100136392868697
trust,4,4,2,0.162123301300998,0.182413361888006,0.0468762072238826
trust,1,3,2,-0.0130340723929575,0.0756996517459411,0.0468762072238826
trust,2,3,2,0.0458828770733919,0.0756996517459411,0.0468762072238826
trust,2,2,3,0.0458828770733919,-0.00420589466572153,0.100136392868697
trust,3,2,4,0.0751841659403771,-0.00420589466572153,0.112212739633188
trust,1,2,1,-0.0130340723929575,-0.00420589466572153,0.0109309321960421
trust,4,4,3,0.162123301300998,0.182413361888006,0.100136392868697
trust,3,2,2,0.0751841659403771,-0.00420589466572153,0.0468762072238826
trust,3,2,3,0.0751841659403771,-0.00420589466572153,0.100136392868697
trust,3,3,3,0.0751841659403771,0.0756996517459411,0.100136392868697
trust,3,4,3,0.0751841659403771,0.182413361888006,0.100136392868697
trust,3,4,4,0.0751841659403771,0.182413361888006,0.112212739633188
trust,4,4,4,0.162123301300998,0.182413361888006,0.112212739633188
trust,2,3,3,0.0458828770733919,0.0756996517459411,0.100136392868697
trust,4,3,2,0.162123301300998,0.0756996517459411,0.0468762072238826
trust,2,1,2,0.0458828770733919,0.0162491529535836,0.0468762072238826
trust,1,2,2,-0.0130340723929575,-0.00420589466572153,0.0468762072238826
trust,2,3,4,0.0458828770733919,0.0756996517459411,0.112212739633188
trust,1,2,3,-0.0130340723929575,-0.00420589466572153,0.100136392868697
trust,2,2,2,0.0458828770733919,-0.00420589466572153,0.0468762072238826
trust,1,3,4,-0.0130340723929575,0.0756996517459411,0.112212739633188
trust,4,3,4,0.162123301300998,0.0756996517459411,0.112212739633188
trust,1,4,2,-0.0130340723929575,0.182413361888006,0.0468762072238826
trust,3,1,1,0.0751841659403771,0.0162491529535836,0.0109309321960421
trust,3,1,3,0.0751841659403771,0.0162491529535836,0.100136392868697
trust,4,1,2,0.162123301300998,0.0162491529535836,0.0468762072238826
trust,1,1,2,-0.0130340723929575,0.0162491529535836,0.0468762072238826
altruism,1,1,1,0.0225590043109481,0.0396157685662536,0.0192855156747855
altruism,2,1,1,0.0693728478512717,0.0396157685662536,0.0192855156747855
altruism,3,3,4,0.146106331504311,0.121391169742974,0.159420916212567
altruism,4,3,3,0.183066436070568,0.121391169742974,0.154656873367611
altruism,4,4,2,0.183066436070568,0.187922183405288,0.0877413144821354
altruism,1,3,2,0.0225590043109481,0.121391169742974,0.0877413144821354
altruism,2,3,2,0.0693728478512717,0.121391169742974,0.0877413144821354
altruism,2,2,3,0.0693728478512717,0.0721754980225837,0.154656873367611
altruism,3,2,4,0.146106331504311,0.0721754980225837,0.159420916212567
altruism,1,2,1,0.0225590043109481,0.0721754980225837,0.0192855156747855
altruism,4,4,3,0.183066436070568,0.187922183405288,0.154656873367611
altruism,3,2,2,0.146106331504311,0.0721754980225837,0.0877413144821354
altruism,3,2,3,0.146106331504311,0.0721754980225837,0.154656873367611
altruism,3,3,3,0.146106331504311,0.121391169742974,0.154656873367611
altruism,3,4,3,0.146106331504311,0.187922183405288,0.154656873367611
