country,gender,preference,isocode,logAvgGDPpc,genderOrig
Afghanistan,-0.362525733819164,trust,AFG,6.07601480077745,-0.362525733819164
Algeria,0.0842040229098597,trust,DZA,8.37734266346542,0.0842040229098597
Argentina,0.0356452868593064,trust,ARG,9.15503477940437,0.0356452868593064
Australia,0.183491440550934,trust,AUS,10.831083350524,0.183491440550934
Austria,0.237387699987742,trust,AUT,10.7415607995392,0.237387699987742
Bangladesh,-0.0854615671874183,trust,BGD,6.55805694315242,-0.0854615671874183
Bolivia,0.0140608329522546,trust,BOL,7.51692562881957,0.0140608329522546
Bosnia Herzegovina,0.0325109993807132,trust,BIH,8.367686754699,0.0325109993807132
Botswana,0.0798426005269226,trust,BWA,8.73160425672903,0.0798426005269226
Brazil,-0.0511256423930785,trust,BRA,9.24850504607934,-0.0511256423930785
Cambodia,-0.17879287395081,trust,KHM,6.56080194725664,-0.17879287395081
Cameroon,-0.100323759386177,trust,CMR,7.14745441142489,-0.100323759386177
Canada,0.26974831186353,trust,CAN,10.7426526485155,0.26974831186353
Chile,-0.086019718361647,trust,CHL,9.40267181395829,-0.086019718361647
China,0.0483140158337363,trust,CHN,8.20964305246326,0.0483140158337363
Colombia,0.0405297035623538,trust,COL,8.69234737053681,0.0405297035623538
Costa Rica,-0.0203316886092137,trust,CRI,8.94050293024014,-0.0203316886092137
Croatia,0.10399423063124,trust,HRV,9.53902869373319,0.10399423063124
Czech Republic,0.0797706464750432,trust,CZE,9.8534106179569,0.0797706464750432
Egypt,0.0130495233358222,trust,EGY,7.7788079739548,0.0130495233358222
Estonia,0.387374747911791,trust,EST,9.63521000605059,0.387374747911791
Finland,0.271516257620778,trust,FIN,10.7444796249982,0.271516257620778
France,-0.0273543331747999,trust,FRA,10.6117864311674,-0.0273543331747999
Georgia,0.0889526564703927,trust,GEO,7.97290299399182,0.0889526564703927
Germany,0.254454323580204,trust,DEU,10.618662465785,0.254454323580204
Ghana,-0.107209976384513,trust,GHA,7.09963552635201,-0.107209976384513
Greece,-0.0562489293946083,trust,GRC,10.2165706203312,-0.0562489293946083
Guatemala,-0.169578364616325,trust,GTM,7.94414266128193,-0.169578364616325
Haiti,-0.0578490800681581,trust,HTI,6.53407979863068,-0.0578490800681581
Hungary,0.0192358130563693,trust,HUN,9.48626689053039,0.0192358130563693
India,0.0933234957896647,trust,IND,7.08342932975559,0.0933234957896647
Indonesia,-0.0635219513400751,trust,IDN,7.949606100172,-0.0635219513400751
Iran,-0.138302896949507,trust,IRN,8.71899979801416,-0.138302896949507
Iraq,0.00292020116666257,trust,IRQ,8.34982696860798,0.00292020116666257
Israel,0.0316449532597649,trust,ISR,10.284498722553,0.0316449532597649
Italy,0.0175429603188544,trust,ITA,10.5134215660861,0.0175429603188544
Japan,0.0558548921997826,trust,JPN,10.700332166688,0.0558548921997826
Jordan,0.156226568628912,trust,JOR,8.17318158968626,0.156226568628912
Kazakhstan,0.0345884727783438,trust,KAZ,9.01546392675182,0.0345884727783438
Kenya,0.0172440998638362,trust,KEN,6.80663994139168,0.0172440998638362
Lithuania,0.035259005256533,trust,LTU,9.36720863436723,0.035259005256533
Malawi,0.00874388981788789,trust,MWI,6.06391954788452,0.00874388981788789
Mexico,-0.0419142573669699,trust,MEX,9.14391571211559,-0.0419142573669699
Moldova,0.0734868056976984,trust,MDA,7.71549766835688,0.0734868056976984
Morocco,-0.0712185291382745,trust,MAR,7.87263480044974,-0.0712185291382745
Netherlands,0.148005247502443,trust,NLD,10.8220941128038,0.148005247502443
Nicaragua,-0.0424491303208828,trust,NIC,7.29807137022244,-0.0424491303208828
Nigeria,-0.0312514293198139,trust,NGA,7.62677036971656,-0.0312514293198139
Pakistan,0.0275004090846164,trust,PAK,6.86941729765193,0.0275004090846164
Peru,-0.0481509205411998,trust,PER,8.40736001602751,-0.0481509205411998
Philippines,-0.092190425506946,trust,PHL,7.62901056403653,-0.092190425506946
Poland,0.120712253997174,trust,POL,9.33943401027034,0.120712253997174
Portugal,-0.0480936829948969,trust,PRT,10.0054394492667,-0.0480936829948969
Romania,-0.0526644238404333,trust,ROU,8.94988350962712,-0.0526644238404333
Russia,0.25200987532334,trust,RUS,9.20980936584525,0.25200987532334
Rwanda,-0.014122785823603,trust,RWA,6.29606341020118,-0.014122785823603
Saudi Arabia,0.220762537920403,trust,SAU,9.87514939493861,0.220762537920403
Serbia,-0.00669612760291316,trust,SRB,8.57970094547058,-0.00669612760291316
South Africa,-0.0446688317648985,trust,ZAF,8.86385418159955,-0.0446688317648985
South Korea,0.0689892997570924,trust,KOR,9.95737590307406,0.0689892997570924
Spain,-0.0073543819325591,trust,ESP,10.3356817805906,-0.0073543819325591
Sri Lanka,-0.0259797370329622,trust,LKA,7.82489428939383,-0.0259797370329622
Suriname,-0.0319957096359412,trust,SUR,8.93962955677749,-0.0319957096359412
Sweden,0.162432951247603,trust,SWE,10.8520837820769,0.162432951247603
Switzerland,0.195928006589362,trust,CHE,11.1957573605179,0.195928006589362
Tanzania,-0.057109468333392,trust,TZA,6.5377094705006,-0.057109468333392
Thailand,-0.0246310105964631,trust,THA,8.45371423132472,-0.0246310105964631
Turkey,-0.0563286677372335,trust,TUR,9.23887703165831,-0.0563286677372335
Uganda,-0.0506719614705836,trust,UGA,6.61112540747215,-0.0506719614705836
Ukraine,0.151890467064956,trust,UKR,7.98643642485663,0.151890467064956
United Arab Emirates,-0.0145820582233522,trust,ARE,10.7359992643429,-0.0145820582233522
United Kingdom,0.156617682586892,trust,GBR,10.5936711459176,0.156617682586892
United States,0.40753780768351,trust,USA,10.7891852208812,0.40753780768351
Venezuela,-0.0423989403420004,trust,VEN,9.49812822025194,-0.0423989403420004
Vietnam,0.0983425110522367,trust,VNM,7.06398624830281,0.0983425110522367
Zimbabwe,0.00366628259702756,trust,ZWE,6.8769835499244,0.00366628259702756
Afghanistan,0.0761650821237219,altruism,AFG,6.07601480077745,0.0761650821237219
Algeria,0.0604990706662674,altruism,DZA,8.37734266346542,0.0604990706662674
Argentina,0.190954977436228,altruism,ARG,9.15503477940437,0.190954977436228
Australia,0.252985082484502,altruism,AUS,10.831083350524,0.252985082484502
