Country,Value,Rank
Norway,0.044,5
Switzerland,0.037,1
Ireland,0.093,22
Germany,0.084,19
"Hong Kong, China (SAR)",..,..
Australia,0.103,25
Iceland,0.057,9
Sweden,0.040,2
Singapore,0.065,11
Netherlands,0.041,4
Denmark,0.040,2
Finland,0.050,7
Canada,0.083,18
New Zealand,0.133,34
United Kingdom,0.119,27
United States,0.182,42
Belgium,0.045,6
Liechtenstein,..,..
Japan,0.099,23
Austria,0.073,14
Luxembourg,0.078,16
Israel,0.100,24
South Korea,0.058,10
Slovenia,0.069,12
Spain,0.074,15
Czech Republic,0.137,35
France,0.051,8
Malta,0.195,44
Italy,0.069,12
Estonia,0.091,21
Cyprus,0.086,20
Greece,0.122,31
Poland,0.120,30
Lithuania,0.124,33
United Arab Emirates,0.113,26
Andorra,..,..
Saudi Arabia,0.224,49
Slovakia,0.190,43
Latvia,0.169,40
Portugal,0.081,17
Qatar,0.202,45
Chile,0.288,62
Brunei Darussalam,0.234,51
Hungary,0.258,56
Bahrain,0.207,47
Croatia,0.122,31
Oman,0.304,65
Argentina,0.354,77
Russia,0.255,54
Belarus,0.119,27
Kazakhstan,0.203,46
Bulgaria,0.218,48
Montenegro,0.119,27
Romania,0.316,69
Palau,..,..
Barbados,0.256,55
Kuwait,0.245,53
Uruguay,0.275,59
Turkey,0.305,66
Bahamas,0.353,76
Malaysia,0.274,58
Seychelles,..,..
Serbia,0.161,37
Trinidad and Tobago,0.323,72
Iran,0.492,118
Mauritius,0.369,82
Panama,0.460,108
Costa Rica,0.285,61
Albania,0.234,51
Georgia,0.351,75
Sri Lanka,0.380,86
Cuba,0.312,67
Saint Kitts and Nevis,..,..
Antigua and Barbuda,..,..
Bosnia Herzegovina,0.162,38
Mexico,0.334,74
Thailand,0.377,84
Grenada,..,..
Brazil,0.386,89
Colombia,0.411,94
Armenia,0.259,57
Algeria,0.443,100
North Macedonia,0.145,36
Peru,0.381,87
China,0.163,39
Ecuador,0.389,90
Azerbaijan,0.321,70
Ukraine,0.284,60
Dominican Republic,0.453,104
Saint Lucia,0.333,73
Tunisia,0.300,63
Mongolia,0.322,71
Lebanon,0.362,79
Botswana,0.464,111
Saint Vincent and the Grenadines,..,..
Jamaica,0.405,93
Venezuela,0.458,106
Dominica,..,..
Fiji,0.357,78
Paraguay,0.482,117
Suriname,0.465,112
Jordan,0.469,113
Belize,0.391,91
Maldives,0.367,81
Tonga,0.418,96
Philippines,0.425,98
Moldova,0.228,50
Turkmenistan,..,..
Uzbekistan,0.303,64
Libya,0.172,41
Indonesia,0.451,103
Samoa,0.364,80
South Africa,0.422,97
Bolivia,0.446,101
Gabon,0.534,128
Egypt,0.450,102
Marshall Islands,..,..
Vietnam,0.314,68
"Palestine, State of",..,..
Iraq,0.540,131
Morocco,0.492,118
Kyrgyzstan,0.381,87
Guyana,0.492,118
El Salvador,0.397,92
Tajikistan,0.377,84
Cabo Verde,0.372,83
Guatemala,0.492,118
Nicaragua,0.455,105
India,0.501,122
Namibia,0.460,108
Timor-Leste,..,..
Honduras,0.479,116
Kiribati,..,..
Bhutan,0.436,99
Bangladesh,0.536,129
Micronesia (Federated States of),..,..
Sao Tome and Principe,0.547,136
Congo,0.579,145
Eswatini (Kingdom of),0.579,145
Lao People's Democratic Republic,0.463,110
Vanuatu,..,..
Ghana,0.541,133
Zambia,0.540,131
Equatorial Guinea,..,..
Myanmar,0.458,106
Cambodia,0.474,114
Kenya,0.545,134
Nepal,0.476,115
Angola,0.578,144
Cameroon,0.566,140
Zimbabwe,0.525,126
Pakistan,0.547,136
Solomon Islands,..,..
Syrian Arab Republic,0.547,136
Papua New Guinea,0.740,161
Comoros,..,..
Rwanda,0.412,95
Nigeria,..,..
Tanzania,0.539,130
Uganda,0.531,127
Mauritania,0.620,150
Madagascar,..,..
Benin,0.613,148
Lesotho,0.546,135
Côte d'Ivoire,0.657,157
Senegal,0.523,125
Togo,0.566,140
Sudan,0.560,139
Haiti,0.620,150
Afghanistan,0.575,143
Djibouti,..,..
Malawi,0.615,149
Ethiopia,0.508,123
Gambia,0.620,150
Guinea,..,..
Liberia,0.651,155
Yemen,0.834,162
Guinea-Bissau,..,..
Congo (Democratic Republic of the),0.655,156
Mozambique,0.569,142
Sierra Leone,0.644,153
Burkina Faso,0.612,147
Eritrea,..,..
Mali,0.676,158
Burundi,0.520,124
South Sudan,..,..
Chad,0.701,160
Central African Republic,0.682,159
Niger,0.647,154
