country, region, telephone, personal
Australia, East Asia and Pacific, T, F
Cambodia, East Asia and Pacific, F, T
China, East Asia and Pacific, T, T
Indonesia, East Asia and Pacific, F, T
Japan, East Asia and Pacific, T, F
Philippines, East Asia and Pacific, F, T
South Korea, East Asia and Pacific, T, F
Thailand, East Asia and Pacific, F, T
Vietnam, East Asia and Pacific, F, T
Austria, Europe, T, F
Bosnia Herzegovina, Ex Soviet, , 
Croatia, Ex Soviet, F, T
Czech Republic, Ex Soviet, F, T
Estonia, Ex Soviet, F, T
Finland, Europe, T, F
France, Europe, T, F
Georgia, Ex Soviet, F, T
Germany, Europe, T, F
Greece, Europe, F, T
Hungary, Ex Soviet, F, T
Italy, Europe, T, F
Kazakhstan, Ex Soviet, F, T
Lithuania, Ex Soviet, F, T
Moldova, Ex Soviet, F, T
Netherlands, Europe, T, F
Poland, Ex Soviet, F, T
Portugal, Europe, T, F
Romania, Ex Soviet, F, T
Russia, Ex Soviet, F, T
Serbia, Ex Soviet, F, T
Spain, Europe, T, F
Sweden, Europe, T, F
Switzerland, Europe, T, F
Turkey, Middle East and North Africa, F, T
Ukraine, Ex Soviet, F, T
United Kingdom, Europe, T, F
Argentina, Latin America and Caribbean, F, T
Bolivia, Latin America and Caribbean, F, T
Brazil, Latin America and Caribbean, F, T
Chile, Latin America and Caribbean, F, T
Colombia, Latin America and Caribbean, F, T
Costa Rica, Latin America and Caribbean, F, T
Guatemala, Latin America and Caribbean, F, T
Haiti, Latin America and Caribbean, F, T
Mexico, Latin America and Caribbean, F, T
Nicaragua, Latin America and Caribbean, F, T
Peru, Latin America and Caribbean, F, T
Suriname, Latin America and Caribbean, F, T
Venezuela, Latin America and Caribbean, F, T
Algeria, Middle East and North Africa, F, T
Egypt, Middle East and North Africa, F, T
Iran, Middle East and North Africa, T, F
Iraq, Middle East and North Africa, F, T
Israel, Middle East and North Africa, F, T
Jordan, Middle East and North Africa, F, T
Morocco, Middle East and North Africa, F, T
Saudi Arabia, Middle East and North Africa, F, T
United Arab Emirates, Middle East and North Africa, F, T
United States, North America, T, F
Canada, North America, T, F
Afghanistan, South Asia, F, T
Bangladesh, South Asia, F, T
India, South Asia, F, T
Pakistan, South Asia, F, T
Sri Lanka, South Asia, F, T
Botswana, Sub-Saharan Africa, , 
Cameroon, Sub-Saharan Africa, F, T
Ghana, Sub-Saharan Africa, F, T
Kenya, Sub-Saharan Africa, F, T
Malawi, Sub-Saharan Africa, F, T
Nigeria, Sub-Saharan Africa, F, T
Rwanda, Sub-Saharan Africa, F, T
South Africa, Sub-Saharan Africa, F, T
Tanzania, Sub-Saharan Africa, F, T
Uganda, Sub-Saharan Africa, F, T
Zimbabwe, Sub-Saharan Africa, F, T
