country,averageAge
South Sudan,18.6
Serbia,38.7
Montenegro,37.1
Zimbabwe,19.5
United States,37.4
Estonia,40.9
Vietnam,29.8
Russia,38.3
Venezuela,27
Vanuatu,21.7
Belarus,39.3
Uzbekistan,25.3
New Zealand,37
Uruguay,34.4
Hungary,40.6
Ukraine,39.7
Uganda,15.8
Turkmenistan,25.6
Turkey,29.4
Tunisia,30.3
Czechia,40.3
Chad,15.8
Trinidad and Tobago,33.3
Tonga,21.3
Togo,18.9
Thailand,36.9
Denmark,41.1
Tanzania,17.5
Tajikistan,21.7
Syria,22.4
Switzerland,42
Swaziland,20.1
Suriname,28.5
Finland,42.3
Sudan,19.2
Sri Lanka,31.4
Somalia,16.3
Slovenia,42.4
Slovakia,38.2
Singapore,38.1
Sierra Leone,19.1
Seychelles,32.6
Senegal,18.1
Saudi Arabia,27.5
Sao Tome and Principe,19.2
Samoa,21
Zambia,16.6
Solomon Islands,19.7
Germany,45.5
Saint Vincent and the Grenadines,29
Saint Lucia,30.5
Sweden,41
Rwanda,18.2
Romania,39.4
France,40.6
Qatar,31.7
Equatorial Guinea,20.6
Poland,38.8
Portugal,42.2
Peru,26.5
Paraguay,23.9
Papua New Guinea,20.9
Panama,27.9
Pakistan,22.5
Oman,26.3
Ivory Coast,19
Norway,39
Nigeria,17.8
Niger,15
Nicaragua,23.1
Nepal,22.4
Namibia,21.2
Burma,29
Mozambique,17.3
Mongolia,26.8
Moldova,35.8
Micronesia,21
Mexico,27
Mauritius,34.6
Mauritania,19.8
Morocco,27
Malta,40.9
Mali,16.3
Malaysia,27.4
Maldives,25
Malawi,17.2
Macedonia,37.1
Madagascar,18.4
Luxembourg,39
Lithuania,39.3
Libya,26.6
Liberia,18.5
Lebanon,29.8
Lesotho,20.7
Latvia,41.5
Laos,21.4
Cyprus,35.2
Kuwait,29.2
Cuba,40.1
Croatia,42.6
Greece,42.8
South Korea,39.4
North Korea,33.6
Congo (Dem. Republic),17.4
Congo,18.8
Comoros,19.1
Colombia,27.7
Kiribati,23.5
Kyrgyzstan,24.6
China,37.4
Central Africa,19.7
Kenya,18.8
Kazakhstan,29.4
Cape Verde,24.2
Canada,40.1
Cameroon,18.3
Cambodia,24.4
Jordan,23.4
Yemen,19.1
Japan,45.9
Jamaica,27.7
Austria,42.7
Timor-Leste,16.6
Italy,44.3
Israel,30.1
Iceland,35.5
Ireland,35.3
Iran,28.5
Iraq,19.7
India,26.4
Indonesia,27.8
Honduras,21.9
Haiti,22.2
Guyana,22.6
Guinea-Bissau,19.1
Guinea,18.6
Guatemala,19.4
Grenada,26.3
Ghana,20.6
Georgia,37.6
Gambia,17
Gabon,20.7
Philippines,23
Fiji,27.1
Ethiopia,18.2
South Africa,26
Spain,41.4
Eritrea,18.4
El Salvador,24.1
Egypt,25.2
Ecuador,26.1
Dominican Republic,25.8
Djibouti,22.8
Costa Rica,29.7
Chile,33.1
Burundi,17.6
Burkina Faso,17.1
Bulgaria,43
Brunei,30.5
United Kingdom,40.2
Brazil,30.3
Botswana,22.5
Bosnia and Herzegovina,39.5
Bolivia,22.4
Bhutan,25.8
Benin,18.4
Belize,23
Belgium,41.6
Barbados,36.9
Bangladesh,25.1
Bahrain,30.1
Bahamas,31.8
Azerbaijan,29.7
Australia,37.2
Armenia,32.7
Argentina,31.1
United Arab Emirates,30
Antigua and Barbuda,30.5
Angola,16.3
Algeria,26.9
Albania,32.9
Netherlands,41.8
Afghanistan,16.5
