Country	MedianAge	PopulationUnder20	Life expectancy
Japan	45.9	17.1 %	84.4
Germany	45.5	18.8 %	81.0
Italy	44.3	17.9 %	83.5
Bulgaria	43.0	19.1 %	75.2
Greece	42.8	18.9 %	81.9
Austria	42.7	19.4 %	81.8
Croatia	42.6	19.5 %	78.3
Slovenia	42.4	19.5 %	81.5
Finland	42.3	21.4 %	81.8
Portugal	42.2	18.4 %	81.6
Switzerland	42.0	19.9 %	83.8
Netherlands	41.8	21.9 %	81.9
Belgium	41.6	22.6 %	81.7
Latvia	41.5	20.7 %	75.3
Spain	41.4	19.3 %	83.5
Denmark	41.1	22.3 %	81.0
Sweden	41.0	22.9 %	82.6
Malta	40.9	19.1 %	82.5
Estonia	40.9	21.0 %	78.6
France	40.6	23.7 %	82.9
Hungary	40.6	19.5 %	76.3
Czech Republic	40.3	20.1 %	79.1
United Kingdom	40.2	23.2 %	81.3
Canada	40.1	21.2 %	82.0
Cuba	40.1	21.8 %	78.7
Ukraine	39.7	20.4 %	72.1
Bosnia Herzegovina	39.5	19.9 %	77.3
South Korea	39.4	17.8 %	82.7
Romania	39.4	20.7 %	75.6
Lithuania	39.3	19.7 %	76.2
Belarus	39.3	21.6 %	74.7
Norway	39.0	23.4 %	82.8
Poland	38.8	19.8 %	77.8
Serbia	38.7	21.4 %	76.0
Russia	38.3	22.9 %	73.1
Singapore	38.1	17.2 %	83.1
Georgia	37.6	25.5 %	73.8
United States	37.4	25.0 %	78.6
China	37.4	23.6 %	76.7
Australia	37.2	25.2 %	82.8
Macedonia	37.1	22.3 %	75.7
New Zealand	37.0	25.9 %	81.9
Thailand	36.9	23.2 %	77.1
Iceland	35.5	25.9 %	82.9
Ireland	35.3	27.4 %	82.3
Uruguay	34.4	27.6 %	77.8
North Korea	33.6	27.4 %	72.1
Chile	33.1	26.2 %	80.0
Albania	32.9	24.6 %	78.5
Qatar	31.7	17.6 %	79.7
Sri Lanka	31.4	31.7 %	76.9
Argentina	31.1	32.5 %	76.6
Brazil	30.3	28.8 %	75.8
Israel	30.1	35.6 %	82.9
United Arab Emirates	30.0	18.8 %	77.8
Vietnam	29.8	29.9 %	75.3
Costa Rica	29.7	28.4 %	80.1
Turkey	29.4	32.5 %	77.4
Kazakhstan	29.4	34.7 %	73.1
Burma	29.0	35.3 %	66.9
Iran	28.5	31.2 %	76.5
Panama	27.9	35.1 %	78.4
Indonesia	27.8	34.8 %	71.5
Colombia	27.7	31.1 %	77.1
Saudi Arabia	27.5	31.4 %	75.0
Malaysia	27.4	32.2 %	76.1
Morocco	27.0	35.1 %	76.4
Mexico	27.0	35.0 %	75.0
Venezuela	27.0	36.1 %	72.3
Algeria	26.9	37.2 %	76.7
Peru	26.5	33.0 %	76.6
India	26.4	35.8 %	69.4
Ecuador	26.1	36.7 %	76.9
South Africa	26.0	37.3 %	64.0
Dominican Republic	25.8	36.6 %	74.0
Egypt	25.2	42.4 %	71.9
Bangladesh	25.1	36.8 %	72.4
Cambodia	24.4	40.0 %	69.5
Paraguay	23.9	38.6 %	74.2
Philippines	23.0	40.1 %	71.2
Pakistan	22.5	45.1 %	67.1
Syria	22.4	40.2 %	72.2
Bolivia	22.4	40.4 %	71.3
Nepal	22.4	40.8 %	70.6
Haiti	22.2	43.0 %	63.7
Laos	21.4	42.1 %	67.6
Ghana	20.6	47.5 %	63.8
Equatorial Guinea	20.6	45.8 %	58.4
Mauritania	19.8	50.0 %	64.7
Solomon Islands	19.7	50.4 %	72.9
Iraq	19.7	48.4 %	70.4
Central Africa	19.7	56.2 %	52.8
Zimbabwe	19.5	53.0 %	61.1
Guatemala	19.4	44.9 %	74.1
Sao Tome and Principe	19.2	53.3 %	70.2
Sudan	19.2	51.1 %	65.1
Yemen	19.1	50.0 %	66.1
Comoros	19.1	49.6 %	64.1
Guinea-Bissau	19.1	52.7 %	58.0
Sierra Leone	19.1	51.6 %	54.3
Ivory Coast	19.0	52.8 %	57.5
Togo	18.9	51.7 %	60.8
Kenya	18.8	50.3 %	66.3
Congo	18.8	51.8 %	64.3
Guinea	18.6	55.0 %	61.1
South Sudan	18.6	52.3 %	57.6
Liberia	18.5	51.6 %	63.7
Madagascar	18.4	51.3 %	66.7
Eritrea	18.4	0.0 %	66.0
Benin	18.4	52.9 %	61.5
Cameroon	18.3	53.1 %	58.9
Rwanda	18.2	50.2 %	68.7
Ethiopia	18.2	51.8 %	66.3
Senegal	18.1	53.3 %	67.6
Nigeria	17.8	54.2 %	54.3
Burundi	17.6	55.6 %	61.2
Tanzania	17.5	54.5 %	65.0
Congo (Dem. Republic)	17.4	56.5 %	60.4
Mozambique	17.3	55.7 %	60.1
Malawi	17.2	54.8 %	63.8
Burkina Faso	17.1	55.7 %	61.1
Gambia	17.0	54.8 %	61.8
Timor-Leste	16.6	49.0 %	69.3
Zambia	16.6	56.0 %	63.5
Afghanistan	16.5	54.4 %	64.5
Angola	16.3	57.3 %	60.9
Mali	16.3	58.3 %	58.9
Somalia	16.3	57.8 %	57.1
Uganda	15.8	57.9 %	62.9
Chad	15.8	58.1 %	54.0
Niger	15.0	60.7 %	62.1
