country,avgGenderDiff,isocode,logAvgGDPpc,Date,ScoreWEF,avgRatioLabor,ValueUN,region,telephone,personal,avgGenderDiffNorm,GenderIndex,logAvgGDPpcNorm,GenderIndexNorm,ScoreWEFNorm,ValueUNNorm,DateNorm,avgRatioLaborNorm,residualsGEIx,residualsGEIy,residualsGDPx,residualsGDPy,residualsWEFx,residualsUNx,residualsRatiox,residualsDatex
Algeria,0.136334573535218,DZA,8.37734266346542,1962,0.632,19.5617557971058,0.443,Middle East and North Africa,F,T,0.703929798829149,-2.85515791879073,0.450798174074361,0.0991977206580329,0.25085910652921,0.70242214532872,0.636363636363636,0,0.225625700549031,0.452098974110806,-0.367960623400826,0.229354039875305,-0.239245761342211,-0.164857681524623,-0.625229891993239,-0.161551900105953
Argentina,0.188294497274028,ARG,9.15503477940437,1947,0.734,65.6493715940859,0.354,Latin America and Caribbean,F,T,0.77888810591948,-0.00483196571849731,0.602340787916219,0.502307424082234,0.601374570446735,0.548442906574395,0.465909090909091,0.582729449133949,0.0708564760272103,0.254014207735074,-0.0317201408492741,0.209583972637312,0.0763996608621675,-0.15790617101395,-0.0586406326495263,-0.0390597573803659
Australia,0.246417741954853,AUS,10.831083350524,1962,0.733,80.1646064755815,0.103,East Asia and Pacific,T,F,0.862737729059277,0.777859065660788,0.928938905844583,0.613000150011355,0.597938144329897,0.114186851211073,0.636363636363636,0.766259334120928,0.313342273947352,0.262887014784143,-0.0651410812393373,0.0892790811774795,-0.00218717811135815,-0.0405179464890825,0.0901046100849567,-0.312880808568714
Austria,0.314911099792695,AUT,10.7415607995392,1918,0.733,78.1743806741309,0.073,Europe,T,F,0.961547461272606,1.72934150741051,0.911494365651892,0.747564340641431,0.597938144329897,0.0622837370242215,0.136363636363636,0.741095021216561,0.193646152461306,0.27055078877318,0.07712063275789,0.198993290299747,0.00182682051757272,0.028309985409195,0.0667982444759105,0.192640292334406
Bangladesh,-0.230533250945655,BGD,6.55805694315242,1972,0.704,34.2449260804688,0.536,South Asia,F,T,0.174679771688352,-2.19170511121312,0.0962885837996367,0.193027082247468,0.498281786941581,0.863321799307959,0.75,0.185653251590523,-0.200182208760957,-0.140705606671629,-0.117701466306544,-0.078294179568229,0.0897497776028101,0.0181904055128804,-0.401819260320418,-0.162987930720625
Bolivia,0.179762891793067,BOL,7.51692562881957,1952,0.749,75.0511702227959,0.446,Latin America and Caribbean,F,T,0.766580260611044,0.0302008850121114,0.283135620022535,0.507261973947978,0.652920962199313,0.707612456747405,0.522727272727273,0.701605308538582,-0.25211351634167,0.238350438439961,0.114085885274149,0.396809353430694,0.201395343459893,-0.00738058336904552,0.0942324758536603,0.00514873856258688
Botswana,0.0445160577469329,BWA,8.73160425672903,1965,0.71,78.9223233143459,0.464,Sub-Saharan Africa,"","",0.571470780266427,-0.598929356765388,0.519830284245791,0.418286709591011,0.518900343642612,0.738754325259516,0.670454545454545,0.750551969578485,0.0521909736004093,0.103507628523062,-0.079332527977152,0.0537434654088589,0.0129111479230757,-0.268165308671623,0.117969747230496,-0.217491091903184
Brazil,-0.127289559398614,BRA,9.24850504607934,1932,0.686,69.8535767861713,0.386,Latin America and Caribbean,F,T,0.3236209513372,-0.175943451064993,0.620554587745372,0.478107840860479,0.436426116838488,0.603806228373703,0.295454545454545,0.635887203842332,0.107458865268437,-0.18486155630677,-0.063956688544776,-0.257068518415128,-0.0927397984552739,-0.230940651728066,-0.00742275596351098,0.125630220732468
Cambodia,-0.271611773942526,KHM,6.56080194725664,1955,0.662,88.7073261659071,0.474,East Asia and Pacific,F,T,0.11541916620527,-0.663905390886355,0.0968234806931952,0.409097420269223,0.353951890034364,0.756055363321799,0.556818181818182,0.874273043512581,-0.363833144887791,-0.346319695281431,0.098132844781184,-0.137889145874815,-0.0547031993841128,0.124937880705698,0.286743561900766,0.0300245955400828
Cameroon,-0.153792807267622,CMR,7.14745441142489,1946,0.682,89.6817830538718,0.566,Sub-Saharan Africa,F,T,0.285386896132604,-0.506561022715347,0.2111397326067,0.431349977567281,0.422680412371134,0.91522491349481,0.454545454545455,0.886594026399391,-0.266425991605158,-0.191424553747605,0.0699425695007148,-0.0393798158558655,-0.0122789116890542,-0.145142115011766,0.286889183975087,0.0961168586269265
