country,avgGenderDiff,isocode,logAvgGDPpc,Date,ScoreWEF,avgRatioLabor,ValueUN,region,telephone,personal,avgGenderDiffNorm,GenderIndex,logAvgGDPpcNorm,GenderIndexNorm,ScoreWEFNorm,ValueUNNorm,DateNorm,avgRatioLaborNorm,residualslogAvgGDPpcNorm,residualsavgGenderDiffNorm_GEI,residualsGenderIndexNorm,residualsavgGenderDiffNorm_GDP,residualsScoreWEFNorm,residualsValueUNNorm,residualsavgRatioLaborNorm,residualsDateNorm
Algeria,0.136334573535218,DZA,8.37734266346542,1962,0.632,19.5617557971058,0.443,Middle East and North Africa,F,T,0.703929798829149,-2.52150727523993,-0.254662564916993,-1.67856112485094,-1.30357750951822,-0.743085242129989,-0.800500830093517,-2.24436670411413,0.66575232337557,0.446352550649806,-1.53892056439106,0.238401676962736,-1.21158172665537,-0.515356192465721,-2.21919065822309,-0.705247209067901
Argentina,0.188294497274028,ARG,9.15503477940437,1947,0.734,65.6493715940859,0.354,Latin America and Caribbean,F,T,0.77888810591948,0.170515899496301,0.28913923314251,0.113512010405066,0.547442063161943,-0.253972334998771,-0.0120749903385925,-0.0923058657251586,0.226896552295174,0.254752885689761,-0.0450333359834921,0.224265441270169,0.477757966074187,-0.493463454622494,-0.120890289214602,-0.146932853879427
Australia,0.246417741954853,AUS,10.831083350524,1962,0.733,80.1646064755815,0.103,East Asia and Pacific,T,F,0.862737729059277,0.838023373198349,1.46111745939663,0.557870076275452,0.529294812449392,1.1254359761241,-0.800500830093517,0.585482906991767,1.15521741421214,0.272507446874558,-0.243312700605717,0.116102341038651,0.111165197892511,-0.120987940018938,0.441036234109339,-1.4312850596104
Austria,0.314911099792695,AUT,10.7415607995392,1918,0.733,78.1743806741309,0.073,Europe,T,F,0.961547461272606,1.86485161372765,1.39851874816543,1.24142708337851,0.529294812449392,1.29030549538181,1.51221496652093,0.492549329656794,0.717800034170044,0.269642997376444,0.474569410869235,0.225168022341968,0.129776670221285,0.0976647417127047,0.354291191108771,0.90791958353739
Bangladesh,-0.230533250945655,BGD,6.55805694315242,1972,0.704,34.2449260804688,0.536,South Asia,F,T,0.174679771688352,-1.92783028233514,-1.5267994756734,-1.28335182651031,0.00302454178542476,-1.2541807518289,-1.3261180565968,-1.55873618919622,-0.823091930830531,-0.141682013253819,-0.44615325921246,-0.0824259859535708,0.47324441979795,0.0665347957139043,-1.40779616517465,-0.692555599244192
Bolivia,0.179762891793067,BOL,7.51692562881957,1952,0.749,75.0511702227959,0.446,Latin America and Caribbean,F,T,0.766580260611044,0.185286154234836,-0.856309824715329,0.123344532266773,0.819650823850202,-0.75957219405576,-0.274883603590234,0.34671104346787,-0.923944027728282,0.24098252356991,0.592889727845618,0.399623875211105,1.09052475144136,-0.0149236792891076,0.431366184874326,0.0749589956836383
Botswana,0.0445160577469329,BWA,8.73160425672903,1965,0.71,78.9223233143459,0.464,Sub-Saharan Africa,"","",0.571470780266427,-0.453483976186039,-0.00694487889212542,-0.301883155620197,0.111908046060728,-0.858493905610388,-0.958185998044502,0.527474505054418,0.158588414381447,0.109122599235532,-0.29807503100974,0.0653574781847615,0.130253896391062,-0.843597361489811,0.528161078637594,-0.967754914730154
Brazil,-0.127289559398614,BRA,9.24850504607934,1932,0.686,69.8535767861713,0.386,Latin America and Caribbean,F,T,0.3236209513372,0.045043878144147,0.354498387544617,0.0299855977048869,-0.323625971040484,-0.429833155540333,0.776350849416332,0.104009460940785,0.338056215643144,-0.188090316574959,-0.164398502427746,-0.24170992354406,-0.412742258818145,-0.725479137640128,0.0689636045699004,0.613836048912168
Cambodia,-0.271611773942526,KHM,6.56080194725664,1955,0.662,88.7073261659071,0.474,East Asia and Pacific,F,T,0.11541916620527,-0.500230448982735,-1.52488002948517,-0.333002166352764,-0.759159988141698,-0.913450412029626,-0.432568771541219,0.984385132263501,-1.34228307355246,-0.342300286103623,0.50314390019145,-0.142001066639102,-0.289510788325517,0.405615997948343,1.13513539904558,0.200181465966777
Cameroon,-0.153792807267622,CMR,7.14745441142489,1946,0.682,89.6817830538718,0.566,Sub-Saharan Africa,F,T,0.285386896132604,-0.319963102664841,-1.11466285187426,-0.212998642039923,-0.396214973890686,-1.41905027108661,0.0404867323117358,1.029887388586,-0.997868105220599,-0.190182216131802,0.3982107259733,-0.0392418527765424,-0.0485290781063708,-0.452431646040829,1.14008341649834,0.499652248195885
