preference,GDPquant,GEIquant,meanGenderGDP,meanGenderGEI
trust,1,1,-0.0145239293006004,0.0113970099853516
trust,2,1,0.0425167486071489,0.0113970099853516
trust,3,3,0.0702878906913665,0.0680286567009206
trust,4,3,0.145759723484298,0.0680286567009206
trust,4,4,0.145759723484298,0.167137137820467
trust,1,3,-0.0145239293006004,0.0680286567009206
trust,2,3,0.0425167486071489,0.0680286567009206
trust,2,2,0.0425167486071489,-0.00252237102452635
trust,3,2,0.0702878906913665,-0.00252237102452635
trust,1,2,-0.0145239293006004,-0.00252237102452635
trust,3,4,0.0702878906913665,0.167137137820467
trust,1,4,-0.0145239293006004,0.167137137820467
trust,3,1,0.0702878906913665,0.0113970099853516
trust,4,1,0.145759723484298,0.0113970099853516
altruism,1,1,0.0213849831169438,0.0395006627418807
altruism,2,1,0.0693408083805831,0.0395006627418807
altruism,3,3,0.140407274426088,0.1189246364646
altruism,4,3,0.167870518902748,0.1189246364646
altruism,4,4,0.167870518902748,0.17241659628477
altruism,1,3,0.0213849831169438,0.1189246364646
altruism,2,3,0.0693408083805831,0.1189246364646
altruism,2,2,0.0693408083805831,0.068161689335112
altruism,3,2,0.140407274426088,0.068161689335112
altruism,1,2,0.0213849831169438,0.068161689335112
altruism,3,4,0.140407274426088,0.17241659628477
altruism,1,4,0.0213849831169438,0.17241659628477
altruism,3,1,0.140407274426088,0.0395006627418807
altruism,4,1,0.167870518902748,0.0395006627418807
negrecip,1,1,0.0915906474009548,0.11033536613079
negrecip,2,1,0.119252894041279,0.11033536613079
negrecip,3,3,0.128881192257562,0.141702304738769
negrecip,4,3,0.191559914808745,0.141702304738769
negrecip,4,4,0.191559914808745,0.210781508084084
negrecip,1,3,0.0915906474009548,0.141702304738769
negrecip,2,3,0.119252894041279,0.141702304738769
negrecip,2,2,0.119252894041279,0.068465469554898
negrecip,3,2,0.128881192257562,0.068465469554898
negrecip,1,2,0.0915906474009548,0.068465469554898
negrecip,3,4,0.128881192257562,0.210781508084084
negrecip,1,4,0.0915906474009548,0.210781508084084
negrecip,3,1,0.128881192257562,0.11033536613079
negrecip,4,1,0.191559914808745,0.11033536613079
posrecip,1,1,-0.00849566608768024,0.027475818666878
posrecip,2,1,0.0579284863672362,0.027475818666878
posrecip,3,3,0.103094769594679,0.0507360027360812
posrecip,4,3,0.0529387893875283,0.0507360027360812
posrecip,4,4,0.0529387893875283,0.0895728903352183
posrecip,1,3,-0.00849566608768024,0.0507360027360812
posrecip,2,3,0.0579284863672362,0.0507360027360812
posrecip,2,2,0.0579284863672362,0.0376816675235854
posrecip,3,2,0.103094769594679,0.0376816675235854
posrecip,1,2,-0.00849566608768024,0.0376816675235854
posrecip,3,4,0.103094769594679,0.0895728903352183
posrecip,1,4,-0.00849566608768024,0.0895728903352183
posrecip,3,1,0.103094769594679,0.027475818666878
posrecip,4,1,0.0529387893875283,0.027475818666878
risktaking,1,1,0.133113903394461,0.15884445040743
risktaking,2,1,0.160196183130813,0.15884445040743
risktaking,3,3,0.164800887771074,0.190947712253106
risktaking,4,3,0.227201933710197,0.190947712253106
risktaking,4,4,0.227201933710197,0.235829950890007
risktaking,1,3,0.133113903394461,0.190947712253106
risktaking,2,3,0.160196183130813,0.190947712253106
risktaking,2,2,0.160196183130813,0.0996907944560007
risktaking,3,2,0.164800887771074,0.0996907944560007
risktaking,1,2,0.133113903394461,0.0996907944560007
risktaking,3,4,0.164800887771074,0.235829950890007
risktaking,1,4,0.133113903394461,0.235829950890007
risktaking,3,1,0.164800887771074,0.15884445040743
risktaking,4,1,0.227201933710197,0.15884445040743
patience,1,1,0.0225768540457005,0.0238682254762169
patience,2,1,0.0138043329507957,0.0238682254762169
patience,3,3,0.0411147993927487,0.050100511303843
patience,4,3,0.146525389278903,0.050100511303843
patience,4,4,0.146525389278903,0.134828952989749
patience,1,3,0.0225768540457005,0.050100511303843
patience,2,3,0.0138043329507957,0.050100511303843
patience,2,2,0.0138043329507957,0.0152236858983387
patience,3,2,0.0411147993927487,0.0152236858983387
patience,1,2,0.0225768540457005,0.0152236858983387
patience,3,4,0.0411147993927487,0.134828952989749
patience,1,4,0.0225768540457005,0.134828952989749
patience,3,1,0.0411147993927487,0.0238682254762169
patience,4,1,0.146525389278903,0.0238682254762169
