country,gender,preference,isocode,logAvgGDPpc
Afghanistan,-0.246981930998709,trust,AFG,6.07601480077745
Algeria,0.14420202988854,trust,DZA,8.37734266346542
Argentina,0.0879579410147905,trust,ARG,9.15503477940437
Australia,0.261595159569954,trust,AUS,10.831083350524
Austria,0.262436886713136,trust,AUT,10.7415607995392
Bangladesh,-0.0471746336228395,trust,BGD,6.55805694315242
Bolivia,0.0400221878967342,trust,BOL,7.51692562881957
Bosnia Herzegovina,0.0492355374978985,trust,BIH,8.367686754699
Botswana,0.106858488419497,trust,BWA,8.73160425672903
Brazil,0.0114732261409757,trust,BRA,9.24850504607934
Cambodia,-0.148580411714214,trust,KHM,6.56080194725664
Cameroon,-0.0951120681634252,trust,CMR,7.14745441142489
Canada,0.280227564965707,trust,CAN,10.7426526485155
Chile,-0.0231505839037618,trust,CHL,9.40267181395829
China,0.0855236377988921,trust,CHN,8.20964305246326
Colombia,0.0887910320718445,trust,COL,8.69234737053681
Costa Rica,0.0182999002022454,trust,CRI,8.94050293024014
Croatia,0.127035439982326,trust,HRV,9.53902869373319
Czech Republic,0.116394866454042,trust,CZE,9.8534106179569
Egypt,0.0733641920908423,trust,EGY,7.7788079739548
Estonia,0.396408018474485,trust,EST,9.63521000605059
Finland,0.281493893774917,trust,FIN,10.7444796249982
France,0.00271850051396546,trust,FRA,10.6117864311674
Georgia,0.123460809639,trust,GEO,7.97290299399182
Germany,0.279407770174645,trust,DEU,10.618662465785
Ghana,-0.0324133098989575,trust,GHA,7.09963552635201
Greece,-0.00734032302785954,trust,GRC,10.2165706203312
Guatemala,-0.131093739491903,trust,GTM,7.94414266128193
Haiti,-0.0792195714592992,trust,HTI,6.53407979863068
Hungary,0.0318415123777092,trust,HUN,9.48626689053039
India,0.133608860566157,trust,IND,7.08342932975559
Indonesia,-0.046633343494035,trust,IDN,7.949606100172
Iran,-0.110152077111747,trust,IRN,8.71899979801416
Iraq,0.00548057750298807,trust,IRQ,8.34982696860798
Israel,0.0714974911800681,trust,ISR,10.284498722553
Italy,0.078433356641681,trust,ITA,10.5134215660861
Japan,0.141874063697245,trust,JPN,10.700332166688
Jordan,0.185962652150127,trust,JOR,8.17318158968626
Kazakhstan,0.000654569203198661,trust,KAZ,9.01546392675182
Kenya,0.0557191503287736,trust,KEN,6.80663994139168
Lithuania,0.0652185876719231,trust,LTU,9.36720863436723
Malawi,0.0533163329201337,trust,MWI,6.06391954788452
Mexico,-0.0187004528757245,trust,MEX,9.14391571211559
Moldova,0.0585396405950056,trust,MDA,7.71549766835688
Morocco,0.0358786229220522,trust,MAR,7.87263480044974
Netherlands,0.213303172716687,trust,NLD,10.8220941128038
Nicaragua,-0.0088779172271395,trust,NIC,7.29807137022244
